title,url,date,description,query
"bueno @buenoHQ · May 23, 2023",https://x.com/buenoHQ/status/1661010606206623744,2023-05-23T14:06:03.000Z,"✧ Weightless ✧ By 
@CLinepannetier
 

Celine is a French street photographer based in Barcelona. ‘Weightless’ captures a candid shot of a skateboarder at Macba Museum, a legendary skate spot worldwide.

✧ Limted Edition
✧ 0.025 ETH
✧ Collect: 
http://
bueno.art/celine-panneti
er/streets/tokens
…",MACBA skate [top]
"Daily Skate Clips @SkateClipsOnX · Mar 7, 2023",https://x.com/SkateClipsOnX/status/1633187601766023168,2023-03-07T19:27:22.000Z,#FakieFlip #MacBa,MACBA skate [top]
"El Cuñado @Leosoki · Feb 26, 2025",https://x.com/Leosoki/status/1894883197588230504,2025-02-26T22:52:14.000Z,"SAVE MACBA 
https://
chng.it/tbKJWgzG via 
@change_es
 #sk8 #skateboarding #art #architecture #skate #MACBA",MACBA skate [top]
"franceinfo @franceinfo · Mar 4, 2025",https://x.com/franceinfo/status/1896947826996683144,2025-03-04T15:36:20.000Z,"""Le centre du monde du skate"" : la place du MACBA, à Barcelone, risque de disparaître",MACBA skate [top]
"MR.GAUGHTER @MRGAUGHTER · Sep 2, 2025",https://x.com/MRGAUGHTER/status/1962975327644483865,2025-09-02T20:26:03.000Z,Funny I got robbed in Barcelona but I’m a true skater since 2012 and Damm right I’m going back 2026 I’ll be back in Barcelona baby and I will be skating Macba !!!! Best skate spot in the fucking world !!!!!,MACBA skate [top]
"CIUTAT VILLIN’ @757doofus · Jun 1, 2025",https://x.com/757doofus/status/1929149702819213487,2025-06-01T12:15:05.000Z,Macba getting easier to skate. I feel good about this.,MACBA skate [top]
Claudia Palma @unaklaudia · Feb 16,https://x.com/unaklaudia/status/2023171263896711394,2026-02-15T23:03:12.000Z,"Consideren como ejemplo al MACBA en Barcelona, especialmente la Plaza de los Ángeles. Su arquitectura minimalista -suelo liso, planos inclinados, y escaleras amplias- lo hizo ideal para el street skate. Galería x dentro, cultura viva x fuera. Resignifiquemos el espacio público.",MACBA skate [top]
"Walking the World @WalktheWorld111 · Jan 10, 2023",https://x.com/WalktheWorld111/status/1612586013007745026,2023-01-09T23:04:00.000Z,"You love to see it! I'm reminded of a visit to MACBA, which has a very popular skate scene. I couldn't understand my prof's disdain for the skaters utilizing an otherwise empty plaza.",MACBA skate [top]
"Matthew @MMcgei · Mar 27, 2024",https://x.com/MMcgei/status/1772971944301695103,2024-03-27T13:00:26.000Z,"Carne de ninis de 28 años que escuchan sum 41 y su vida se resume en fumar p0rros e ir al Macba a darle con el skate 
https://
x.com/mysweeetcorpse
/mysweeetcorpsee/status/1772805140388430216
…",MACBA skate [top]
"jesús @jesussinae · May 2, 2024",https://x.com/jesussinae/status/1786008620699648229,2024-05-02T12:23:32.000Z,fuck un tinder voy pal macba en el skate shop tiro caña to el dia patinando me pregunto se follará a su trabla?,MACBA skate [top]
"Anthony Pecqueux @PecqueuxA · Sep 30, 2024",https://x.com/PecqueuxA/status/1840727889307672971,2024-09-30T12:18:22.000Z,"#LuVuEntendu ""Faut-il cancel le skate?"", un court  mi-amusé mi-inquiet
Dans cet entretien (intéressant), l'artiste catalan Jordi Colomer loue des usages de l'espace non-prévus dans l'aménagement urbain et prend l'exemple des skateurs devant le MACBA
1/6",MACBA skate [top]
"EastOneShop @EastoneShop · Jun 17, 2024",https://x.com/EastoneShop/status/1802661554673881397,2024-06-17T11:16:21.000Z,"T-SHIRT MACBA

Size: S-2XL 

Color: White

#macba
#tshirt
#etsystore
#skate
#skateboarder
#barcelona


https://
eastonedesign.etsy.com/listing/174822
5201
…",MACBA skate [top]
"Ignasi Fortuny @ignasifortuny · Feb 23, 2025",https://x.com/ignasifortuny/status/1893752445911626088,2025-02-23T19:59:01.000Z,"Una mica d’història de la plaça del Macba més enllà del skate. Retorn als orígens de la llegenda. 

BACK TO THE CLASSICS:

Quan la plaça del Macba va ser l’oficina del trap 
https://
elperiodico.com/es/ocio-y-cult
ura/20250222/plaza-macba-skate-oficina-trap-pxxr-gvng-114476288?utm_source=twitter&utm_medium=social&utm_campaign=btn-share
… a través de 
@elperiodico",MACBA skate [top]
"Longa  @_albalonga · Mar 23, 2023",https://x.com/_albalonga/status/1638967628256378880,2023-03-23T18:15:07.000Z,Cuando vas al MACBA pero te has olvidado el skate y no sabes qué hacer con el gramo y medio de speed que te has metido.,MACBA skate [top]
"Berrics @berrics · Dec 19, 2023",https://x.com/berrics/status/1737143428872634734,2023-12-19T16:10:42.000Z,"Take a stroll through time with Bastien Salabanzi as he walks through the history MACBA in our latest episode of ‘Skate Register.’

https://
theberrics.com/macba-skate-re
gister-with-bastien-salabanzi
…",MACBA skate [top]
"Skate Canada / Patinage Canada @SkateCanada · Jun 10, 2015",https://x.com/SkateCanada/status/608731799091580930,2015-06-10T20:25:45.000Z,"Quick glimpse of 
@PChiddy
's new short program to 'Mack the Knife' by 
@michaelbuble
!",MACBA skate [top]
AB STEAM Acton MA @ABPIPSTEM · 20m,https://x.com/ABPIPSTEM/status/2028535676614967518,2026-03-02T18:19:28.000Z,"2026 Community SkateFUNdraiser + AB STEAM Meet-up! 
Sun 3/8 2:30-4:30pm
Nashoba Valley Olympia (rink 3)
34 Mass Ave Boxborough
Ice Skating, Music, Food 
~ Donation: $20/family
All Welcome ~Thank you supporters! 
Info @ 
http://
absteam.org/events
#ABCommunitySkate #ActonMA",MACBA skate [top]
".  @cabramelizadaa · Oct 17, 2023",https://x.com/cabramelizadaa/status/1714327119520522669,2023-10-17T17:06:50.000Z,us prometo que he vist a aquest animal fent skate al macba,MACBA skate [top]
"Genís @bicicletabcn · Feb 24, 2025",https://x.com/bicicletabcn/status/1894063323265577316,2025-02-24T16:34:20.000Z,,MACBA skate [top]
"Street League Skateboarding @StreetLeague · Jul 31, 2018",https://x.com/StreetLeague/status/1024325385402572800,2018-07-31T16:06:17.000Z,"@Luanomatriz_
 skate-vacation Half Cab Flip at MACBA in Barcelona! 

#SLSPro",MACBA skate [top]
"Joey Brezinski @joeybrezinski · Jul 25, 2020",https://x.com/joeybrezinski/status/1287064120571777024,2020-07-25T16:36:13.000Z,"One of my favorite places to skate Macba 
@Macbalife
 #Barcelona 
@Macbalife",MACBA skate [top]
"BenjaminFlocka @BennyFlocka · Nov 19, 2021",https://x.com/BennyFlocka/status/1461782295346618385,2021-11-19T19:43:52.000Z,Went to MACBA just to skate over a chair.,MACBA skate [top]
".  @cabramelizadaa · Dec 2, 2021",https://x.com/cabramelizadaa/status/1466443362475683848,2021-12-02T16:25:17.000Z,juro que he vist a aquesta persona fent skate al macba,MACBA skate [top]
"Miguel The WizDayTrader     @WizDayTrader · Dec 11, 2021",https://x.com/WizDayTrader/status/1469675190913277953,2021-12-11T14:27:25.000Z,"The famous #Macba skate spot in 
@barcelona
, one of my favorite spots to skate!",MACBA skate [top]
"kalo @__mireeee · Oct 21, 2021",https://x.com/__mireeee/status/1451142701949374470,2021-10-21T11:05:55.000Z,en uns dies ens trobarem amb imatges de Laporta en skate pel MACBA,MACBA skate [top]
"Plan B Skateboards @PlanBofficial · Jan 28, 2019",https://x.com/PlanBofficial/status/1089700412142235650,2019-01-28T01:43:18.000Z,Help save one of the most iconic skate spots. Macba is a staple in Barcelona.  Spread the word! #savemacba,MACBA skate [top]
"Patrizia Rosa Delvey Blanchard @Hij0delavirgen · Oct 19, 2021",https://x.com/Hij0delavirgen/status/1450484476736417798,2021-10-19T15:30:22.000Z,mudarme a Barcelona solo para hacer skate en el macba en drag y que se me conozca como Skate Moss.,MACBA skate [top]
"BAPE.COM @BAPEOFFICIAL · Oct 5, 2017",https://x.com/BAPEOFFICIAL/status/915884127701757952,2017-10-05T10:19:27.000Z,ABC CAMOで仕上げたスケートボードが10月7日(土)発売。耐久力や性能も高いカナディアンメープルに描かれたABC CAMOが美しく、ストリートシーンに映える仕上がりです。お部屋のインテリアコーディネートにもエッジを加える存在感のあるアイテム。 #bape,MACBA skate [top]
"U.S. Figure Skating @USFigureSkating · Oct 28, 2018",https://x.com/USFigureSkating/status/1056347145182171136,2018-10-28T00:49:20.000Z,"Pack your bags for Vancouver 
@MadiHubbell
 and 
@ZachTDonohue
!  

 #SkateAmerica Champions (200.82 points overall)
 #SCI18 Champions (200.76 points overall)
 #GPFigure Final 

!",MACBA skate [top]
"The Skating Lesson @SkatingLesson · Nov 3, 2020",https://x.com/SkatingLesson/status/1323636556511485952,2020-11-03T14:42:01.000Z,A 3A+3T from Wakaba Higuchi. Does this change the competitive landscape of ladies skating?,MACBA skate [top]
"Golden Skate @goldenskate · Oct 28, 2018",https://x.com/goldenskate/status/1056391110854090752,2018-10-28T03:44:02.000Z,#SkateCanada  silver Medalist #MakoYamashita at her first ever Senior Grand Prix #GPFigure #figureskating,MACBA skate [top]
"btv notícies @btvnoticies · Apr 12, 2024",https://x.com/btvnoticies/status/1778855352450306411,2024-04-12T18:39:00.000Z,"Els patinadors i comerciants del Raval volen que l'”skate park” es quedi al MACBA.

 “Suposarà la desaparició de tot un teixit comercial”",MACBA skate [top]
nas⁷¹ @_princesssnoopy · Feb 8,https://x.com/_princesssnoopy/status/2020575719588249762,2026-02-08T19:09:26.000Z,mack skating with team canada oh my goodness </3,MACBA skate [top]
"Gcomm.SOL  (  ) MrWonderful.TON  @AutoTeam604 · Feb 3, 2025",https://x.com/AutoTeam604/status/1886479353459917030,2025-02-03T18:18:21.000Z,MACBA ... skate... onboard.... easy....,MACBA skate [top]
"SkateYou @_SkateYou_ · Nov 6, 2017",https://x.com/_SkateYou_/status/927637942750806018,2017-11-06T20:44:54.000Z,"Caution Slippery Floor 
Marcel Rieger shredding Macba for 
@_SkateYou_
 contest ‘Gnarliest Line’.
Upload your clips for cash & prizes.",MACBA skate [top]
"valentina @faiyevalentine · Jun 6, 2024",https://x.com/faiyevalentine/status/1798823286958330243,2024-06-06T21:04:26.000Z,"Fuck un Tinder, voy pa'l MACBA
en el skate shop tiro caña
to'l día patinando, me pregunto ""¿Se follará a su tabla?""",MACBA skate [top]
"MACVES @macvesves · May 18, 2017",https://x.com/macvesves/status/865191667766251520,2017-05-18T13:05:42.000Z,"MACVES Summer March 2017
OLD SKATE LOGO Tee
¥1000 
size:M L XL
夏に一枚でも十分な存在感
明日のライブから、試験的に販売
みんなの反応があれば、たくさん作ろうかなっと
こんな色があったら嬉しいとから教えてね",MACBA skate [top]
"Golden Skate @goldenskate · Oct 28, 2018",https://x.com/goldenskate/status/1056549356273389568,2018-10-28T14:12:50.000Z,"#MakoYAMASHITA FS ""Madame Butterfly"" #Puccini #SCI18 #FigureSkating #GPFigure #SkateCanada SB 136.76  
@DanielleEPhoto
 / GoldenSkate",MACBA skate [top]
Marty Hastings @MarTheReporter · 2h,https://x.com/MarTheReporter/status/2028507920678494692,2026-03-02T16:29:10.000Z,". 
@CFJC_Today
 spoke to Kamloops skip Matt Dunstone, Team B.C. third Jared Kolomaya this a.m. to recap game last night. Dunstone and favoured Manitoba rink prevailing 9-4 over B.C. and its three Kamloopsians. Fifth-end swing a turning point, with B.C. skip Tanaka coming up ...",MACBA skate [top]
"nono @nl5zn · Sep 3, 2024",https://x.com/nl5zn/status/1830752042907746341,2024-09-02T23:37:55.000Z,me encanta dibujar a kaito como un adolescente español que pasa su tiempo en el macba bebiendo cerveza y haciendo skate,MACBA skate [top]
"Dustin @dustinodesign · Jan 13, 2025",https://x.com/dustinodesign/status/1878819199231148331,2025-01-13T14:59:38.000Z,"The MACBA is a piece of skate history and culture. It can’t be destroyed. 

SAVE MACBA 
https://
chng.it/Hf7GGWHZ via 
@change_es",MACBA skate [top]
"xxxxxxxxxxxxx @sk7fast · Mar 4, 2024",https://x.com/sk7fast/status/1764507120999993484,2024-03-04T04:24:15.000Z,"Tryna skate MACBA so bad, maybe live there for a summer skate everyday",MACBA skate [top]
"yunkniel @bkdanie7 · Jan 31, 2025",https://x.com/bkdanie7/status/1885323425721323615,2025-01-31T13:45:06.000Z,"ver os mlk andando tipo em sls e massa macba,eee deixa eu ver Japão também tá ligado,mais mano dar um rolê no louvre crl,em paris??slc dichaviando totalmente pprt,acho que foi o nível mais dahora de lugar pra se andar de skate que já vi,queria ver neguin andando no egito prrt",MACBA skate [top]
"MenorIrak @FXLXPXR · Jun 30, 2023",https://x.com/FXLXPXR/status/1674885041296404480,2023-06-30T20:58:06.000Z,Qria da um pião de skate no MACBA em Barcelona deve ser zk,MACBA skate [top]
"CIUTAT VILLIN’ @757doofus · Jun 10, 2024",https://x.com/757doofus/status/1799944611521331217,2024-06-09T23:20:11.000Z,True Life: that ledge at macba is actually fuckin scary to skate.,MACBA skate [top]
"chloé  @midorimoonlight · Aug 18, 2022",https://x.com/midorimoonlight/status/1560375347685752833,2022-08-18T21:17:27.000Z,"a lot of people do not perceive wakaba as a performer when she was already a great one at only 16. always skates with great power and determination, but also knows how to perform with great choreography and challenges various music choices. and when she hits, she HITS.",MACBA skate [top]
"bellisima fresita tKm  @bellisimatkm · May 14, 2024",https://x.com/bellisimatkm/status/1790499137181425913,2024-05-14T21:47:14.000Z,"Fuck un Tinder, voy pa'l MACBA, en el skate shop tiro caña
To' el día patinando, me pregunto, ¿se follará a su tabla?",MACBA skate [top]
"estrella @arnauseis · Mar 10, 2024",https://x.com/arnauseis/status/1766893367567192289,2024-03-10T18:26:20.000Z,Pues todo apunta que para 2027 ya no habrá más skate en el MACBA,MACBA skate [top]
"Yung rapunxel @virgenjade · Oct 24, 2024",https://x.com/virgenjade/status/1849413305049493587,2024-10-24T11:31:07.000Z,Fuck el tinder voy pal macba en skate shop tiro caña,MACBA skate [top]
"Catalan News @catalannews · Mar 9, 2024",https://x.com/catalannews/status/1766538230889840853,2024-03-09T18:55:09.000Z,"| Barcelona targets world-famous unofficial skate park to end 'monopoly' of skaters

Redevelopment plans include new health center, MACBA expansion and more green spaces",MACBA skate [top]
"Despachico @_CHlCO · Aug 23, 2023",https://x.com/_CHlCO/status/1694153483497201831,2023-08-23T01:04:00.000Z,Macba is the oldest living skate spot in the world lol,MACBA skate [top]
"xxxxxxxxxxxxx @sk7fast · Jul 19, 2023",https://x.com/sk7fast/status/1681616684698972161,2023-07-19T10:47:15.000Z,Fuck ima learn Spanish so I can go to Spain and skate that sexy macba floor,MACBA skate [top]
"chedar :3 @dariachessa · Oct 15, 2023",https://x.com/dariachessa/status/1713581667649016105,2023-10-15T15:44:41.000Z,"moments iconics de me mate part treeees:

""si et fixes en tios aixi fas que se't notin mes aquest traumes de no tenir pare""

(estava mirant un xaval fent skate al macba i ja)",MACBA skate [top]
"Diet T @yungtavvvy · Jun 14, 2023",https://x.com/yungtavvvy/status/1668907575293755395,2023-06-14T09:05:47.000Z,Now that I have my passport who trynna go to Spain and skate macba ???,MACBA skate [top]
"N @aere_n · Feb 27, 2023",https://x.com/aere_n/status/1630310657991081988,2023-02-27T20:55:25.000Z,Pero por qué se pelean?? No me he enterado aún ajsjsjsj en plan que ha pasado??? Es que si es por Justin por dios es literalmente el tío más normal que hay en el mundo ahora mismo. Te puedes encontrar 80 igual en el macba en bcn haciendo skate y oliendo a drogadicción,MACBA skate [top]
"corte piola @elrulopapa · Mar 31, 2023",https://x.com/elrulopapa/status/1641821232210272258,2023-03-31T15:14:19.000Z,Nota mental: da igual a lo que venga a Barcelona tengo que traer el skate. Caminando por el macba sin la tabla me siento alto ñoqui,MACBA skate [top]
"@virtuemoired · Dec 6, 2024",https://x.com/virtuemoired/status/1864809998691258460,2024-12-05T23:12:04.000Z,"idc there's a pcs cap after a skater falls, this step sequence from wakaba should be powerful enough to override it",MACBA skate [top]
"MargaB @MargaBTweet · Nov 21, 2025",https://x.com/MargaBTweet/status/1991705856443060371,2025-11-21T03:10:54.000Z,"Els ""skate"" al MACBA? Deu meu.",MACBA skate [top]
"seveN @sevenlucasneves · Feb 5, 2025",https://x.com/sevenlucasneves/status/1887272121274867907,2025-02-05T22:48:32.000Z,"bro, you're at the Disneyland of skate, go skate  do a double flip at MACBA",MACBA skate [top]
"Hudson da Paz @hudsondapazRD · Aug 8, 2023",https://x.com/hudsondapazRD/status/1688875209502191616,2023-08-08T11:30:02.000Z,"Fala mal dos skater do Macba, mas tá no kino todo dia e quase quebra o pescoço pra olhar quando escuta o barulho de skate passando, Deus tá vendo",MACBA skate [top]
"Paul @arpeegee · Sep 2, 2025",https://x.com/arpeegee/status/1962855916581036340,2025-09-02T12:31:33.000Z,one thing I like more as a skating teenager in THPS rather than Skate was the locations. You get to travel in these games. If you could cram Macba/Carlsbad/Trocadéro/NYC banks/Venice/Bangkok... in one game it'd be very cool,MACBA skate [top]
"Daily Skate Clips @SkateClipsOnX · Apr 10, 2024",https://x.com/SkateClipsOnX/status/1778070395435860422,2024-04-10T14:39:51.000Z,Skateboarding has come a long way since I was a kid. Jose Cantillada skating inside the MacBa Museum,MACBA skate [top]
"Dr. Abusalama @ShahdAbusalama · Sep 6, 2024",https://x.com/ShahdAbusalama/status/1832002447155278289,2024-09-06T10:26:35.000Z,"The story of Tala AbuAjwa, a 9-year-old girl who was killed in #Gaza while roller-skating by 
@MahaGaza
: 
https://
middleeasteye.net/news/killed-he
r-roller-skate-israeli-air-strike-gaza-kills-children-playing-street
…

Since Israel's killing of Tala, I feel a heartache whenever I pass through 
@MACBA_Barcelona
's skate part. Her crime was being born Palestinian.",MACBA skate [top]
"Ignacio Araújo @IgnacioAraujo1 · Mar 8, 2024",https://x.com/IgnacioAraujo1/status/1766067014236283082,2024-03-08T11:42:42.000Z,"Adiós al 
@MACBA_Barcelona
 como epicentro mundial del skate  
https://
as.com/deportes_accio
n/urbano/adios-al-macba-como-epicentro-mundial-del-skate-n/
…",MACBA skate [top]
"Bojoreal @thebojoreal · Aug 24, 2023",https://x.com/thebojoreal/status/1694671394955477016,2023-08-24T11:22:00.000Z,"""Do a kickflip"" :)) If you ever come to Barcelona let's street skate at MACBA",MACBA skate [top]
"battleface @battlefacePlan · Jun 23, 2023",https://x.com/battlefacePlan/status/1672254925332443140,2023-06-23T14:46:57.000Z,"Want to visit Europe's most iconic skate spots?

 • MACBA Skatepark, Barcelona
 • Fælledparken Skatepark, Copenhagen
 • Hotel de Ville plaza, Lyon
 • Mellow Park, Berlin
 • Southbank Skatepark, London
 • And more 

#skateparks #skateboarding",MACBA skate [top]
"D Y L A @TioDeki · Apr 11, 2024",https://x.com/TioDeki/status/1778184016556138957,2024-04-10T22:11:21.000Z,em todos esses anos acho que essa eh a primeira vez que vejo alguem andando de skate dentro do macba,MACBA skate [top]
Canuckle  @CanuckleGame · 5h,https://x.com/CanuckleGame/status/2028455329013371273,2026-03-02T13:00:11.000Z,"Canuckle #1387: MAMBA 
The Saskatoon Mamba are the newest identity in the Canadian Elite Basketball League (
@CEBLeague
), emerging from a bold rebrand of the league’s 2019 inaugural champions, formerly known as the Saskatchewan Rattlers. As the CEBL continues to grow as a",MACBA skate [top]
"Jackie Wong @rockerskating · Oct 30, 2018",https://x.com/rockerskating/status/1057103773288591360,2018-10-30T02:55:54.000Z,"My look back at Skate Canada: The surprise rise of Mako Yamashita 山下真瑚, the adjustments and comebacks of Medvedeva and Brown, the triple axel of Elizaveta Tuktamysheva, the goosebumps from Kevin Aymoz, and the career skate from James/Cipres

http://
bit.ly/2F3aT23 #SCI18",MACBA skate [top]
"North Point @northpoint1993 · Dec 28, 2023",https://x.com/northpoint1993/status/1740322308831777079,2023-12-28T10:42:26.000Z,CHRISMAS SKATE JAM MACBA,MACBA skate [top]
"Jackie Wong @rockerskating · Nov 22, 2019",https://x.com/rockerskating/status/1197801756790538240,2019-11-22T08:59:27.000Z,"Mako Yamashita JPN
3Lz3T, 2A, 3Lo - WOW she looked like a completely different skater than the one 5 weeks ago at Skate America; from the first 20 sec, even before her 1st jump, you can tell her confidence is back

http://
bit.ly/2D8z9vL #NHK杯フィギュア #GPFigure",MACBA skate [top]
"ﾏｰｰｸｽ @maarks0628 · Oct 28, 2018",https://x.com/maarks0628/status/1056385237310046209,2018-10-28T03:20:41.000Z,"Mako YAMASHITA 山下真瑚 FS - 2018 Skate Canada 
https://
youtu.be/gtnioeXoz5c 
@YouTube
さんから

自分よく神演技と言ってしまいがちですが、これぞ、神演技。もうすでに３度リピしました。まだご覧になってない方、是非。",MACBA skate [top]
"kate @sharkies71 · Nov 23, 2025",https://x.com/sharkies71/status/1992411191109734791,2025-11-23T01:53:39.000Z,mack tripping and hitting the board so fucking hard right in front of me…,MACBA skate [top]
"Jackie Wong @rockerskating · Nov 28, 2020",https://x.com/rockerskating/status/1332588101311602688,2020-11-28T07:32:16.000Z,"OHHHH almost the 13th woman to land a 3A in international competition - Mana Kawabe turns out of her 3A attempt ... that would've been ratified in the olden days as a landed jump because it's a one-foot turnout

https://
bit.ly/3mgmxHQ #NHK杯フィギュア #NHKTrophy20",MACBA skate [top]
"U.S. Figure Skating @USFigureSkating · Oct 22, 2018",https://x.com/USFigureSkating/status/1054160492330020864,2018-10-22T00:00:21.000Z,"@MadiHubbell
 and 
@ZachTDonohue
 win #TeamUSA's TH consecutive #SkateAmerica ice dance title. 

Read a recap of the final competition day  
https://
usfigu.re/2yWT3qS",MACBA skate [top]
"Pemi @pemisps · Apr 4, 2024",https://x.com/pemisps/status/1775877756837912923,2024-04-04T13:27:06.000Z,"La pujada del pont de pedra, aka entre la plaça del Vi i el Pont de Pedra. És la plaça del Macba de Girona amb els skate? Espero que no",MACBA skate [top]
"chloé  @midorimoonlight · Feb 15, 2024",https://x.com/midorimoonlight/status/1758242943041712289,2024-02-15T21:32:38.000Z,"mako yamashita makint her comeback to international ice for the first time since 2020 and currently first at a tiny challenger is so... the last time she competed outside of japan was in 2019. and when you see how beautiful her skating is, you know she’s earned it…

#山下真湖",MACBA skate [top]
